Uniq Id,Product Id,Crawl Timestamp,Product Rating,Product Reviews Count,Product Category,Product Brand,Product Name,Product Image Url,Product Description,Product Tags,Purchase Count,Search History,Predictive Data
1,P00001,2025-03-24T23:41:35,4.5,135,Jeans,Levi's,Levi's Jeans National,https://example.com/images/P00001.jpg,Other year during rather many bad.,music;main;bit;share,248,along;game;PM,0.57
2,P00002,2025-01-01T03:39:05,4.2,26,Jeans,Zara,Zara Jeans Receive,https://example.com/images/P00002.jpg,Care back process feeling scientist high because necessary art career.,short;yeah;player;line,50,pay;country;about,0.55
3,P00003,2025-01-08T21:04:59,4.1,376,Tops,Levi's,Levi's Tops Director,https://example.com/images/P00003.jpg,Attack add end rule again employee why human send commercial.,drop;certainly;watch;away,685,brother;itself;office,0.84
4,P00004,2025-03-21T16:57:10,3.9,152,Shoes,Nike,Nike Shoes Account,https://example.com/images/P00004.jpg,Case south walk off soon talk argue cover be give political set.,its;paper;school;move,848,fact;keep;data,0.93
5,P00005,2025-06-15T10:57:09,3.7,89,Tops,Forever 21,Forever 21 Tops Responsibility,https://example.com/images/P00005.jpg,Receive by apply two surface scene garden watch series up do east democratic.,thank;candidate;safe;spring,240,fish;save;its,0.97
6,P00006,2025-02-16T18:42:11,3.2,59,Bags,Zara,Zara Bags Range,https://example.com/images/P00006.jpg,Continue open way possible really affect none water trouble debate size.,type;far;ready;wide,387,suggest;draw;line,0.92
7,P00007,2025-03-08T08:03:43,4.5,284,Bags,Levi's,Levi's Bags Leave,https://example.com/images/P00007.jpg,Weight today account close system pretty yeah crime join once factor.,agree;your;standard;those,147,court;class;stage,0.98
8,P00008,2025-05-12T01:27:21,4.1,434,Shoes,Zara,Zara Shoes Section,https://example.com/images/P00008.jpg,End most image figure strategy religious away drug near whatever sign.,personal;perform;according;benefit,663,suffer;laugh;music,0.8
9,P00009,2025-01-03T18:14:33,4.4,33,Bags,Nike,Nike Bags Too,https://example.com/images/P00009.jpg,Despite win party ball avoid mean such with capital.,role;ago;up;old,697,upon;situation;pass,0.61
10,P00010,2025-01-31T17:56:11,4.7,453,Bags,Zara,Zara Bags Policy,https://example.com/images/P00010.jpg,My weight sense free number energy center best so personal great clearly film.,throughout;indeed;scientist;cup,123,yes;food;day,0.69
11,P00011,2025-01-12T21:40:33,3.3,191,Shoes,H&M,H&M Shoes Popular,https://example.com/images/P00011.jpg,Consumer investment learn us arm theory per administration western subject only.,alone;Mr;minute;sit,234,whose;worry;few,0.83
12,P00012,2025-06-27T18:06:12,4.1,135,Jeans,Gucci,Gucci Jeans Enter,https://example.com/images/P00012.jpg,Movie father study choice hot cause north expert civil relate.,free;amount;for;religious,187,institution;sport;too,0.73
13,P00013,2025-06-25T05:10:54,4.4,441,Bags,Nike,Nike Bags Parent,https://example.com/images/P00013.jpg,Eight over ability increase mother reach short game.,nice;develop;matter;read,806,win;happy;other,0.88
14,P00014,2025-01-14T09:43:43,4.6,215,Tops,Levi's,Levi's Tops Discuss,https://example.com/images/P00014.jpg,Lead could similar analysis well religious window everybody.,happy;then;Democrat;nearly,294,while;data;animal,0.53
15,P00015,2025-02-06T03:50:04,4.3,212,Bags,Nike,Nike Bags Especially,https://example.com/images/P00015.jpg,Company politics establish short fly moment sport she material myself off.,hold;bill;cause;perform,925,enough;near;fire,0.95
16,P00016,2025-01-12T17:54:29,3.5,136,Shoes,Gucci,Gucci Shoes Outside,https://example.com/images/P00016.jpg,Area out half democratic notice which above game easy include bag peace.,bit;paper;cultural;hope,782,fund;sit;year,0.78
17,P00017,2025-04-01T16:13:51,4.8,214,Bags,Forever 21,Forever 21 Bags Night,https://example.com/images/P00017.jpg,Value join list age war production fear school.,church;establish;general;soldier,390,industry;bill;decide,0.61
18,P00018,2025-05-27T05:04:26,3.2,34,Tops,Prada,Prada Tops Certainly,https://example.com/images/P00018.jpg,Debate Democrat traditional environment their central lay feeling popular treat explain.,difficult;maintain;sell;size,901,sound;accept;traditional,0.55
19,P00019,2025-06-10T14:16:25,4.2,207,Tops,Forever 21,Forever 21 Tops A,https://example.com/images/P00019.jpg,Down final good amount action college.,care;price;purpose;important,410,describe;quality;cup,0.79
